sample_name,x,y,z,r,g,b
F1S4_160106_005_C01,0.33335304,2.214607,-0.62910366,1.0,0.15802967952538838,0.20075449686377198
F1S4_160106_005_D01,0.4074036,2.7410734,-3.2503948,1.0,0.4979394537485592,0.47230914960731507
F1S4_160106_005_E01,0.4779927,2.314279,-0.43107936,1.0,0.18265072867954016,0.41425121641367113
F1S4_160106_005_F01,-1.1144688,-0.46292567,0.10827421,1.0,0.15802967952538838,0.20075449686377198
F1S4_160106_005_G01,0.42689455,1.8593936,1.2232244,1.0,0.4830966758414831,0.11485021243592852
F1S4_160106_005_H01,0.33795545,2.8704808,-3.1630888,1.0,0.15802967952538838,0.20075449686377198
F1S4_160106_006_B01,0.07213778,2.6831071,-3.1710336,1.0,0.18265072867954016,0.41425121641367113
F1S4_160106_006_C01,-0.12025205,1.9311026,-2.6666093,1.0,0.11533126491095849,0.18552008485746108
F1S4_160106_006_D01,-0.015326664,2.4677758,-2.060182,1.0,0.18265072867954016,0.41425121641367113
F1S4_160106_006_E01,0.909724,2.388077,0.79292744,1.0,0.18265072867954016,0.41425121641367113
F1S4_160106_006_F01,-0.26234904,0.97876763,1.2238536,1.0,0.1427311340244346,0.3642226492586331
F1S4_160106_006_G01,0.46898094,2.931316,-3.4886553,1.0,0.24314639860041562,0.2796108519607472
F1S4_160106_007_B01,0.0023830777,2.6005385,-2.856808,1.0,0.18265072867954016,0.41425121641367113
F1S4_160106_007_C01,0.29933918,2.1504161,-0.6076424,1.0,0.15802967952538838,0.20075449686377198
F1S4_160106_007_D01,-0.36122718,0.9874921,-5.9991217,1.0,0.15802967952538838,0.20075449686377198
F1S4_160106_007_E01,-2.1959765,-3.3638897,1.1977432,0.4673566342119264,0.19846600483714322,1.0
F1S4_160106_007_F01,0.16969498,2.7336164,-3.5809188,1.0,0.18265072867954016,0.41425121641367113
F1S4_160106_007_G01,-0.08476552,1.2252003,-1.4237801,1.0,0.3188378421543415,0.13677091117162013
F1S4_160106_007_H01,0.18034084,2.0937433,-0.7984315,1.0,0.18265072867954016,0.41425121641367113
F1S4_160106_008_B01,-0.34051412,0.94555795,1.3614527,1.0,0.4830966758414831,0.11485021243592852
F1S4_160106_008_C01,0.5032776,2.9584513,-3.4763358,1.0,0.11533126491095849,0.18552008485746108
F1S4_160106_008_E01,0.54882956,2.3977933,-0.4858446,1.0,0.15802967952538838,0.20075449686377198
F1S4_160106_008_G01,0.41934457,0.32053283,-0.38963866,0.35092257965898854,0.17045809644214782,1.0
F1S4_160106_008_H01,0.57190084,3.1718776,-4.268279,1.0,0.18265072867954016,0.41425121641367113
F1S4_160106_009_A01,0.23212,0.12288649,-1.0017099,0.33386238417064407,0.27271270399160585,1.0
F1S4_160106_009_B01,-1.1275486,-4.0128055,1.9624319,0.18356713262091537,0.4108624029025941,1.0
F1S4_160106_009_C01,1.0540518,1.6512557,0.00844925,0.4737184211638422,0.3628519782569265,1.0
F1S4_160106_009_D01,0.47882193,3.0235243,-4.0903964,1.0,0.15802967952538838,0.20075449686377198
F1S4_160106_009_F01,0.81796134,2.3342912,0.40374297,1.0,0.11533126491095849,0.18552008485746108
F1S4_160106_009_G01,0.22980367,2.2516243,-1.0565861,1.0,0.4632893908800042,0.32263441783569236
F1S4_160106_037_A01,-1.2803706,-2.8046877,2.7413895,0.18064387085652425,1.0,0.2992979742094791
F1S4_160106_037_B01,2.7083209,-0.96912205,-0.13318631,0.4509751858900062,0.16211762544093464,1.0
F1S4_160106_037_C01,-1.0197425,0.034102406,-1.6809078,1.0,0.11533126491095849,0.18552008485746108
F1S4_160106_037_E01,2.9396846,-2.1529768,1.1394496,0.2086602341597814,0.4197438054627699,1.0
F1S4_160106_037_G01,3.4678895,-2.6525998,2.036268,0.41587772778230014,0.295596348926896,1.0
F1S4_160106_038_A01,-2.1160657,-3.6509287,4.570763,0.26837643626766045,1.0,0.3688151106171106
F1S4_160106_038_C01,-1.221649,-1.2472055,1.0955211,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_038_D01,-1.2956334,-0.70110404,-0.98296565,1.0,0.25572832279875246,0.4760063190392225
F1S4_160106_038_E01,0.9576925,2.4534276,0.92943275,1.0,0.3373796031870022,0.3326952827850527
F1S4_160106_039_A01,-1.9606342,-3.4373176,4.2878337,0.26837643626766045,1.0,0.3688151106171106
F1S4_160106_039_B01,-1.2010605,-1.2060578,-0.55239165,1.0,0.25572832279875246,0.4760063190392225
F1S4_160106_039_C01,3.4679275,-1.4977316,0.2554163,0.3284121381643084,0.303365501051284,1.0
F1S4_160106_039_D01,2.6722956,-2.3399184,1.5825839,0.402092144478307,0.30093117562096483,1.0
F1S4_160106_039_E01,-1.0824274,-2.0238507,2.088882,0.402092144478307,0.30093117562096483,1.0
F1S4_160106_039_G01,-0.67841965,0.81345373,-3.6927404,1.0,0.25572832279875246,0.4760063190392225
F1S4_160106_039_H01,1.9028146,-1.1198957,2.3389297,0.20184020243018944,0.42412570409940353,1.0
F1S4_160106_040_A01,-2.188775,-3.6839006,4.782247,0.28276695447006667,1.0,0.433867236810063
F1S4_160106_040_B01,-0.63234013,-1.7704121,1.9774724,0.402092144478307,0.30093117562096483,1.0
