,x,y,z,r,g,b
147,1.7423582,-7.7909455,5.7326374,0.5573241061130334,0.8164244521337947,0.546958861976163
148,2.8876364,-8.479482,7.3713994,0.17139561707035755,0.581514801999231,0.2979008073817762
149,2.4480245,-8.427635,6.308341,0.17139561707035755,0.581514801999231,0.2979008073817762
150,2.97888,-8.567124,6.757274,0.17139561707035755,0.581514801999231,0.2979008073817762
151,2.8424385,-8.436589,7.391574,0.17139561707035755,0.581514801999231,0.2979008073817762
152,2.9971373,-8.338255,6.7581773,0.17139561707035755,0.581514801999231,0.2979008073817762
153,2.0210938,-8.471136,7.317055,0.17139561707035755,0.581514801999231,0.2979008073817762
154,2.9550335,-8.34851,7.06267,0.17139561707035755,0.581514801999231,0.2979008073817762
155,2.5395334,-8.299909,7.378802,0.17139561707035755,0.581514801999231,0.2979008073817762
156,2.6095235,-8.288933,7.7940354,0.17139561707035755,0.581514801999231,0.2979008073817762
157,-0.43689167,-4.5454073,4.9245124,0.7145098039215686,0.23418685121107266,0.009273356401384082
158,2.1375985,-8.5243,6.9770446,0.17139561707035755,0.581514801999231,0.2979008073817762
159,3.0334585,-8.462706,7.950558,0.17139561707035755,0.581514801999231,0.2979008073817762
160,2.7680993,-8.725576,7.6858416,0.17139561707035755,0.581514801999231,0.2979008073817762
161,-1.6360922,-2.9205618,5.2414055,0.7925720876585928,0.09328719723183392,0.11298731257208766
162,-2.1562462,-2.833799,5.678583,0.6403844675124952,0.05720876585928489,0.08149173394848133
163,-2.6239564,-3.110995,5.1269298,0.9882352941176471,0.732072279892349,0.6299269511726259
164,-2.0527055,-2.8542519,5.284744,0.7925720876585928,0.09328719723183392,0.11298731257208766
165,-2.2828763,-2.2044032,6.159812,0.6403844675124952,0.05720876585928489,0.08149173394848133
166,-1.7804196,-2.8232985,5.29679,0.7925720876585928,0.09328719723183392,0.11298731257208766
167,1.4088573,-7.7882347,6.3065324,0.17139561707035755,0.581514801999231,0.2979008073817762
168,1.5562832,-7.333222,7.3475075,0.17139561707035755,0.581514801999231,0.2979008073817762
169,-0.59877735,-4.774108,6.0490394,0.9914186851211073,0.550726643598616,0.23277201076509035
170,-1.9497391,-3.3632178,4.728819,0.9881891580161477,0.5707035755478662,0.44521337946943484
171,-1.1821071,-4.0987334,5.917288,0.9137254901960784,0.3686274509803921,0.050980392156862744
172,-2.2042673,-3.247791,4.84721,0.9882352941176471,0.732072279892349,0.6299269511726259
